Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount	CacheHit
0.0626016	C1	1	0	LastDelay	0.0626016	62601.6	1	6	0
0.0626016	C1	1	0	FullDelay	0.0626016	62601.6	1	6	0
0.0634472	C2	1	0	LastDelay	0.0634472	63447.2	1	6	0
0.0634472	C2	1	0	FullDelay	0.0634472	63447.2	1	6	0
1.02089	C1	2	0	LastDelay	0.0208896	20889.6	1	2	1
1.02089	C1	2	0	FullDelay	0.0208896	20889.6	1	2	1
1.02089	C2	2	0	LastDelay	0.0208896	20889.6	1	2	1
1.02089	C2	2	0	FullDelay	0.0208896	20889.6	1	2	1
1.06261	C1	1	1	LastDelay	0.0626064	62606.4	1	6	0
1.06261	C1	1	1	FullDelay	0.0626064	62606.4	1	6	0
1.06345	C2	1	1	LastDelay	0.0634528	63452.8	1	6	0
1.06345	C2	1	1	FullDelay	0.0634528	63452.8	1	6	0
2.02089	C1	2	1	LastDelay	0.0208912	20891.2	1	2	1
2.02089	C1	2	1	FullDelay	0.0208912	20891.2	1	2	1
2.02089	C2	2	1	LastDelay	0.0208912	20891.2	1	2	1
2.02089	C2	2	1	FullDelay	0.0208912	20891.2	1	2	1
2.06261	C1	1	2	LastDelay	0.0626064	62606.4	1	6	0
2.06261	C1	1	2	FullDelay	0.0626064	62606.4	1	6	0
2.06345	C2	1	2	LastDelay	0.0634528	63452.8	1	6	0
2.06345	C2	1	2	FullDelay	0.0634528	63452.8	1	6	0
3.02089	C1	2	2	LastDelay	0.0208912	20891.2	1	2	1
3.02089	C1	2	2	FullDelay	0.0208912	20891.2	1	2	1
3.02089	C2	2	2	LastDelay	0.0208912	20891.2	1	2	1
3.02089	C2	2	2	FullDelay	0.0208912	20891.2	1	2	1
3.06261	C1	1	3	LastDelay	0.0626064	62606.4	1	6	0
3.06261	C1	1	3	FullDelay	0.0626064	62606.4	1	6	0
3.06345	C2	1	3	LastDelay	0.0634528	63452.8	1	6	0
3.06345	C2	1	3	FullDelay	0.0634528	63452.8	1	6	0
4.02089	C1	2	3	LastDelay	0.0208912	20891.2	1	2	1
4.02089	C1	2	3	FullDelay	0.0208912	20891.2	1	2	1
4.02089	C2	2	3	LastDelay	0.0208912	20891.2	1	2	1
4.02089	C2	2	3	FullDelay	0.0208912	20891.2	1	2	1
4.06261	C1	1	4	LastDelay	0.0626064	62606.4	1	6	0
4.06261	C1	1	4	FullDelay	0.0626064	62606.4	1	6	0
4.06345	C2	1	4	LastDelay	0.0634528	63452.8	1	6	0
4.06345	C2	1	4	FullDelay	0.0634528	63452.8	1	6	0
