Time	Node	Type	Packets	
54999	0	CacheHits	617
54999	0	CacheMisses	18747
54999	1	CacheHits	362
54999	1	CacheMisses	13389
54999	2	CacheHits	537
54999	2	CacheMisses	18286
54999	3	CacheHits	449
54999	3	CacheMisses	19164
54999	4	CacheHits	294
54999	4	CacheMisses	16900
54999	5	CacheHits	518
54999	5	CacheMisses	22998
54999	6	CacheHits	544
54999	6	CacheMisses	14850
54999	7	CacheHits	116
54999	7	CacheMisses	1590
54999	8	CacheHits	232
54999	8	CacheMisses	2660
54999	9	CacheHits	402
54999	9	CacheMisses	2855
54999	10	CacheHits	413
54999	10	CacheMisses	2778
54999	11	CacheHits	459
54999	11	CacheMisses	2820
54999	12	CacheHits	194
54999	12	CacheMisses	2592
54999	13	CacheHits	379
54999	13	CacheMisses	2778
54999	14	CacheHits	244
54999	14	CacheMisses	2695
54999	15	CacheHits	296
54999	15	CacheMisses	2619
54999	16	CacheHits	270
54999	16	CacheMisses	2682
54999	17	CacheHits	236
54999	17	CacheMisses	2812
54999	18	CacheHits	193
54999	18	CacheMisses	2696
54999	19	CacheHits	347
54999	19	CacheMisses	2848
54999	20	CacheHits	444
54999	20	CacheMisses	2760
54999	21	CacheHits	239
54999	21	CacheMisses	2724
54999	22	CacheHits	352
54999	22	CacheMisses	2802
54999	23	CacheHits	315
54999	23	CacheMisses	2678
54999	24	CacheHits	339
54999	24	CacheMisses	2889
54999	25	CacheHits	266
54999	25	CacheMisses	2684
54999	26	CacheHits	221
54999	26	CacheMisses	2696
54999	27	CacheHits	203
54999	27	CacheMisses	2721
54999	28	CacheHits	266
54999	28	CacheMisses	2802
54999	29	CacheHits	254
54999	29	CacheMisses	2640
54999	30	CacheHits	340
54999	30	CacheMisses	2829
54999	31	CacheHits	232
54999	31	CacheMisses	2710
54999	32	CacheHits	246
54999	32	CacheMisses	2696
54999	33	CacheHits	333
54999	33	CacheMisses	2702
54999	34	CacheHits	154
54999	34	CacheMisses	2647
54999	35	CacheHits	256
54999	35	CacheMisses	2758
54999	36	CacheHits	237
54999	36	CacheMisses	2774
54999	37	CacheHits	403
54999	37	CacheMisses	2810
54999	38	CacheHits	246
54999	38	CacheMisses	2980
