Time	Node	Type	Packets	
54999	0	CacheHits	0
54999	0	CacheMisses	20382
54999	1	CacheHits	0
54999	1	CacheMisses	14548
54999	2	CacheHits	0
54999	2	CacheMisses	19672
54999	3	CacheHits	0
54999	3	CacheMisses	20353
54999	4	CacheHits	0
54999	4	CacheMisses	17712
54999	5	CacheHits	0
54999	5	CacheMisses	24193
54999	6	CacheHits	0
54999	6	CacheMisses	16246
54999	7	CacheHits	0
54999	7	CacheMisses	1737
54999	8	CacheHits	0
54999	8	CacheMisses	2943
54999	9	CacheHits	0
54999	9	CacheMisses	3461
54999	10	CacheHits	0
54999	10	CacheMisses	3336
54999	11	CacheHits	0
54999	11	CacheMisses	3784
54999	12	CacheHits	0
54999	12	CacheMisses	2845
54999	13	CacheHits	0
54999	13	CacheMisses	3329
54999	14	CacheHits	0
54999	14	CacheMisses	3096
54999	15	CacheHits	0
54999	15	CacheMisses	3211
54999	16	CacheHits	0
54999	16	CacheMisses	3102
54999	17	CacheHits	0
54999	17	CacheMisses	3103
54999	18	CacheHits	0
54999	18	CacheMisses	2925
54999	19	CacheHits	0
54999	19	CacheMisses	3489
54999	20	CacheHits	0
54999	20	CacheMisses	3476
54999	21	CacheHits	0
54999	21	CacheMisses	3038
54999	22	CacheHits	0
54999	22	CacheMisses	3407
54999	23	CacheHits	0
54999	23	CacheMisses	3148
54999	24	CacheHits	0
54999	24	CacheMisses	3338
54999	25	CacheHits	0
54999	25	CacheMisses	3015
54999	26	CacheHits	0
54999	26	CacheMisses	2970
54999	27	CacheHits	0
54999	27	CacheMisses	2982
54999	28	CacheHits	0
54999	28	CacheMisses	3148
54999	29	CacheHits	0
54999	29	CacheMisses	2977
54999	30	CacheHits	0
54999	30	CacheMisses	3256
54999	31	CacheHits	0
54999	31	CacheMisses	2982
54999	32	CacheHits	0
54999	32	CacheMisses	2990
54999	33	CacheHits	0
54999	33	CacheMisses	3138
54999	34	CacheHits	0
54999	34	CacheMisses	2828
54999	35	CacheHits	0
54999	35	CacheMisses	3053
54999	36	CacheHits	0
54999	36	CacheMisses	3096
54999	37	CacheHits	0
54999	37	CacheMisses	3949
54999	38	CacheHits	0
54999	38	CacheMisses	3301
